"","Group","SubID","Time","RT"
"1","No Practice","13577_001","Pre",1369.4375
"2","No Practice","13577_002","Pre",1413.36842105263
"3","No Practice","13577_003","Pre",1176.34482758621
"4","No Practice","13577_004","Pre",550.052631578947
"5","No Practice","13577_005","Pre",1599.4347826087
"6","No Practice","13577_006","Pre",1768.9696969697
"7","No Practice","13577_007","Pre",1178.9375
"8","No Practice","13577_008","Pre",1554.42424242424
"9","No Practice","13577_009","Pre",1163.26666666667
"10","No Practice","13577_010","Pre",1527.04
"11","No Practice","13577_011","Pre",1372.85714285714
"12","No Practice","13577_012","Pre",2178.20689655172
"13","No Practice","13577_013","Pre",1342.70588235294
"14","No Practice","13577_014","Pre",1822.55555555556
"15","No Practice","13577_015","Pre",2174.11428571429
"16","No Practice","13577_016","Pre",1009.75757575758
"17","No Practice","13577_017","Pre",1780.24137931034
"18","No Practice","13577_018","Pre",1629.51851851852
"19","No Practice","13577_019","Pre",1867.25714285714
"20","No Practice","13577_020","Pre",2015.70833333333
"21","No Practice","13577_021","Pre",1164.84615384615
"22","No Practice","13577_022","Pre",1958.03571428571
"23","No Practice","13577_023","Pre",1119.25806451613
"24","No Practice","13577_024","Pre",1531.42307692308
"25","No Practice","13577_025","Pre",1067.70588235294
"26","No Practice","13577_026","Pre",1268.15625
"27","No Practice","13577_027","Pre",981
"28","No Practice","13577_028","Pre",1521.375
"29","CTRL","tDCS_001","Pre",1551.51111111111
"30","CTRL","tDCS_010","Pre",1487.80769230769
"31","CTRL","tDCS_014","Pre",1475.76923076923
"32","CTRL","tDCS_019","Pre",1470.19230769231
"33","CTRL","tDCS_022","Pre",1677.90566037736
"34","CTRL","tDCS_025","Pre",1557.68085106383
"35","CTRL","tDCS_033","Pre",1579.51219512195
"36","CTRL","tDCS_034","Pre",1678.66666666667
"37","CTRL","tDCS_037","Pre",1514.34146341463
"38","CTRL","tDCS_041","Pre",1573.97727272727
"39","CTRL","tDCS_043","Pre",1208.98039215686
"40","CTRL","tDCS_048","Pre",1837.43859649123
"41","CTRL","tDCS_051","Pre",1672.63157894737
"42","CTRL","tDCS_054","Pre",528.451612903226
"43","CTRL","tDCS_055","Pre",1107.8
"44","CTRL","tDCS_058","Pre",1192.59183673469
"45","CTRL","tDCS_065","Pre",1520.21212121212
"46","CTRL","tDCS_066","Pre",1349.54716981132
"47","CTRL","tDCS_070","Pre",1352.08163265306
"48","CTRL","tDCS_073","Pre",1327.66666666667
"49","CTRL","tDCS_076","Pre",1338
"50","CTRL","tDCS_079","Pre",1567.96666666667
"51","CTRL","tDCS_081","Pre",1568.9756097561
"52","CTRL","tDCS_087","Pre",1602.95652173913
"53","CTRL","tDCS_089","Pre",1971.27586206897
"54","No Practice","13577_001","Post",1362.96
"55","No Practice","13577_002","Post",1065.8
"56","No Practice","13577_003","Post",1105.21875
"57","No Practice","13577_004","Post",510.166666666667
"58","No Practice","13577_005","Post",1682.45454545455
"59","No Practice","13577_006","Post",1450.25
"60","No Practice","13577_007","Post",1532.87179487179
"61","No Practice","13577_008","Post",903.961538461538
"62","No Practice","13577_009","Post",1088.8125
"63","No Practice","13577_010","Post",1303.59375
"64","No Practice","13577_011","Post",1129
"65","No Practice","13577_012","Post",1790.3125
"66","No Practice","13577_013","Post",1830.56666666667
"67","No Practice","13577_014","Post",1904.09375
"68","No Practice","13577_015","Post",2068.23333333333
"69","No Practice","13577_016","Post",1072.75
"70","No Practice","13577_017","Post",1735.5625
"71","No Practice","13577_018","Post",1408.89285714286
"72","No Practice","13577_019","Post",1537.66666666667
"73","No Practice","13577_020","Post",1948
"74","No Practice","13577_021","Post",1560.19230769231
"75","No Practice","13577_022","Post",1964.68965517241
"76","No Practice","13577_023","Post",1203.26666666667
"77","No Practice","13577_024","Post",1836.29032258065
"78","No Practice","13577_025","Post",1103.89285714286
"79","No Practice","13577_026","Post",1097
"80","No Practice","13577_027","Post",1080.88461538462
"81","No Practice","13577_028","Post",1865.875
"82","CTRL","tDCS_001","Post",1282.55172413793
"83","CTRL","tDCS_010","Post",884.925925925926
"84","CTRL","tDCS_014","Post",1496.24418604651
"85","CTRL","tDCS_019","Post",1458.10576923077
"86","CTRL","tDCS_022","Post",1509.73214285714
"87","CTRL","tDCS_025","Post",1239.47674418605
"88","CTRL","tDCS_033","Post",1616.5625
"89","CTRL","tDCS_034","Post",1589.20289855072
"90","CTRL","tDCS_037","Post",1510.92727272727
"91","CTRL","tDCS_041","Post",1588.88679245283
"92","CTRL","tDCS_043","Post",1151.93577981651
"93","CTRL","tDCS_048","Post",1428.66101694915
"94","CTRL","tDCS_051","Post",1432.57723577236
"95","CTRL","tDCS_054","Post",585.181818181818
"96","CTRL","tDCS_055","Post",643.764705882353
"97","CTRL","tDCS_058","Post",1019.25510204082
"98","CTRL","tDCS_065","Post",1196.35616438356
"99","CTRL","tDCS_066","Post",1299.5045045045
"100","CTRL","tDCS_070","Post",1287.54054054054
"101","CTRL","tDCS_073","Post",967.276595744681
"102","CTRL","tDCS_076","Post",1306.4128440367
"103","CTRL","tDCS_079","Post",1523.35365853659
"104","CTRL","tDCS_081","Post",1663.14893617021
"105","CTRL","tDCS_087","Post",1533.7641509434
"106","CTRL","tDCS_089","Post",1528.60194174757
